name,rank,areas,profile,homepage
Maxwell Libbrecht,Assistant Professor,Computational Biology And Machine Learning,http://www.sfu.ca/computing/people/faculty/maxlibbrecht11.html,http://www.cs.sfu.ca/~maxwl/
Jiangchuan (Jc) Liu,Professor,Networking And Multimedia Communications,http://www.sfu.ca/computing/people/faculty/jiangchuanliu.html,http://www.cs.sfu.ca/~jcliu/
David Mitchell,Associate Professor,"Constraint Satisfaction, Algorithms For Deduction And Other Reasoning Tasks",http://www.sfu.ca/computing/people/faculty/davidmitchell.html,http://www.cs.sfu.ca/~mitchell/
Jian Pei,Professor,Databases And Data Mining,http://www.sfu.ca/computing/people/faculty/jianpei.html,http://www.cs.sfu.ca/~jpei/
Fred Popowich,Professor,Profile & Contact Information  |  Home Page,http://www.sfu.ca/computing/people/faculty/fredpopowich.html,http://www.cs.sfu.ca/~popowich/
Arrvindh Shriraman,Associate Professor,"Systems Architecture, Hardware-Software Interactions, Parallelism, Sychronization And Imporoving Software Reliability Within Specialized Fields.",http://www.sfu.ca/computing/people/faculty/ArrvindhShriraman.html,http://www.cs.sfu.ca/~ashriram/
William (Nick) Sumner,Associate Professor,"Automated Debugging, Debugging Tools, Concurrency & Parallelism, Program Analysis & Transformation",http://www.sfu.ca/computing/people/faculty/NickSumner.html,http://www.cs.sfu.ca/~wsumner/
Manolis Savva,Assistant Professor,"Computer Graphics, Computer Vision, Deep Learning",http://www.sfu.ca/computing/people/faculty/manolissavva.html,
Igor Shinkar,Assistant Professor,Computational Complexity,http://www.sfu.ca/computing/people/faculty/igorshinkar.html,
Ping Tan,Associate Professor,"Computer Vision, Computer Graphics, Robotics",http://www.sfu.ca/computing/people/faculty/pingtan.html,http://www.cs.sfu.ca/~pingtan/
Eugenia Ternovska,Associate Professor,"Logical Aspects Of Ai, Knowledge Representation And Reasoning, Efficient Reasoning, Descriptive Complexity And Formal Verification.",http://www.sfu.ca/computing/people/faculty/EugeniaTernovska.html,http://www.cs.sfu.ca/~ter/
Keval Vora,Assistant Professor,"Parallel & Distributed Computing, Irregular Big Data Processing And High Performance Computing",http://www.sfu.ca/computing/people/faculty/kevalvora.html,http://www.cs.sfu.ca/~keval/
Ke Wang,Professor,"Databases, Data Mining",http://www.sfu.ca/computing/people/faculty/kewang.html,http://www.cs.sfu.ca/~wangk/
Tianzheng Wang,Assistant Professor,"Database Systems, Parallel And Distributed Systems, Concurency, Embedded Systems",http://www.sfu.ca/computing/people/faculty/tianzhengwang.html,
Kay C. Wiese,Associate Professor,"Bioinformatics, Evolutionary Computation, Computational Intelligence, Visualization",http://www.sfu.ca/computing/people/faculty/kaywiese.html,http://www.cs.sfu.ca/~wiese/
Kangkang Yin,Associate Professor,"Computer Animation, Computer Graphics, Humanoid Robotics, Machine Learning, Multimedia Analysis",http://www.sfu.ca/computing/people/faculty/kangkangyin.html,http://www.cs.sfu.ca/~kkyin/
Saba Alimadadi,Assistant Professor,Software Engineering,http://www.sfu.ca/computing/people/faculty/sabaalimadadi.html,/computing/people/faculty/sabaalimadadi.html
Greg Baker,University Lecturer,Instruction,http://www.sfu.ca/computing/people/faculty/gregbaker.html,http://www.cs.sfu.ca/~ggbaker/
Andrei Bulatov,Professor,"Constraint Satisfaction, Complexity Of Computation",http://www.sfu.ca/computing/people/faculty/andreibulatov.html,http://www.cs.sfu.ca/~abulatov/
Bobby Chan,Lecturer,Instruction,http://www.sfu.ca/computing/people/faculty/bobbychan1.html#main_content_title,/computing/people/faculty/bobbychan1.html#main_content_title
Binay Bhattacharya,Professor,"Computational Geometry, Pattern Recognition",http://www.sfu.ca/computing/people/faculty/binaybhattacharya.html,http://www.cs.sfu.ca/~binay/
Ouldooz Baghban Karimi,Lecturer,Data & Networks,http://www.sfu.ca/computing/people/faculty/ouldoozbaghbankarimi.html,
Robert D. Cameron,Professor,"Software Engineering Languages, Electronic Publication",http://www.sfu.ca/computing/people/faculty/robertdcameron.html,http://www.cs.sfu.ca/~cameron/
Mo Chen,Assistant Professor,Robotics And Autonomous Systems,http://www.sfu.ca/computing/people/faculty/mochen.html,
Parmit Chilana,Assistant Professor,Human-Computer Interaction,http://www.sfu.ca/computing/people/faculty/parmitchilana.html,http://hci.cs.sfu.ca/
Ryan C.N. D'Arcy,Professor,Neuroscience,http://www.sfu.ca/computing/people/faculty/ryandarcy.html,
Mark S. Drew,Professor,Computer Vision,http://www.sfu.ca/computing/people/faculty/markdrew.html,http://www.cs.sfu.ca/~mark/
Brian Funt,Professor,Computational Color Vision,http://www.sfu.ca/computing/people/faculty/brianfunt.html,http://www.cs.sfu.ca/~funt/
Qianping Gu,Professor,Network Communications And Algorithms,http://www.sfu.ca/computing/people/faculty/QianpingGu.html,http://www.cs.sfu.ca/~qgu/
Ghassan Hamarneh,Professor,"Medical Image Analysis (Computational/Artificial Intelligence, Computer Vision, Image Processing)",http://www.sfu.ca/computing/people/faculty/ghassanhamarneh.html,http://www.cs.sfu.ca/~hamarneh/
Eugene Fiume,Professor,Computer Graphics,http://www.sfu.ca/computing/people/faculty/eugenefiume.html,
Pavol Hell,Professor,Computational Combinatorics,http://www.sfu.ca/computing/people/faculty/pavolhell.html,http://www.cs.sfu.ca/~pavol/
Valentine Kabanets,Professor,"Pseudorandomness And Derandomization, Complexity Of Computation, Automata And Logic",http://www.sfu.ca/computing/people/faculty/valentinekabanets.html,http://www.cs.sfu.ca/~kabanets/
Ramesh Krishnamurti,Professor,Combinatorial Optimization And Approximation Algorithms,http://www.sfu.ca/computing/people/faculty/RameshKrishnamurti.html,http://www.cs.sfu.ca/~ramesh/
Ze-Nian Li,Professor,"Computer Vision, Multimedia",http://www.sfu.ca/computing/people/faculty/ze-lianli.html,http://www.cs.sfu.ca/~li/
Angelica Lim,Assistant Professor Of Professional Practice,Human Robot Interaction,http://www.sfu.ca/computing/people/faculty/angelicalim.html,https://www.rosielab.ca/
Hang Ma,Assistant Professor,"Artificial Intelligence, Robotics, Multi-Agent/Robot Systems, Machine Learning",http://www.sfu.ca/computing/people/faculty/hangma.html,https://www.sfu.ca/~hangma/
Greg Mori,Professor,"Computer Vision, Machine Learning",http://www.sfu.ca/computing/people/faculty/gregmori.html,http://www.cs.sfu.ca/~mori/
Steven Pearce,Lecturer,"Instruction, Computational Applied Mathematics",http://www.sfu.ca/computing/people/faculty/stevenpearce.html,http://www.cs.sfu.ca/~stevenp/
Joseph G. Peters,Professor,Network Communications,http://www.sfu.ca/computing/people/faculty/JosephPeters.html,http://www.cs.sfu.ca/~peters/
Janice Regan,Senior Lecturer,Instruction,http://www.sfu.ca/computing/people/faculty/janiceregan.html,http://www.cs.sfu.ca/~jregan/
Anoop Sarkar,Professor,"Computational Linguistics, Machine Learning, Probabilistic Grammars And Formal Language Theory",http://www.sfu.ca/computing/people/faculty/anoopsarkar.html,http://www.cs.sfu.ca/~anoop/
Thomas C. Shermer,Professor,Computational Geometry And Computer Graphics,http://www.sfu.ca/computing/people/faculty/thomasshermer.html,http://www.cs.sfu.ca/~shermer/
Oliver Schulte,Professor,"Machine Learning, Computational Logic, Computational Decision Theory",http://www.sfu.ca/computing/people/faculty/oliverschulte.html,http://www.cs.sfu.ca/~oschulte/
Richard Vaughan,Professor,Robotics And Autonomous Systems,http://www.sfu.ca/computing/people/faculty/richardvaughan.html,http://www.cs.sfu.ca/~vaughan/
Jiannan Wang,Assistant Professor,Database Systems And Big Data,http://www.sfu.ca/computing/people/faculty/jiannanwang.html,https://www.cs.sfu.ca/~jnwang/
Cynthia Xie,Senior Lecturer,Mandarin Chinese Instruction For The Dual Degree Program,http://www.sfu.ca/computing/people/faculty/cynthiaxie.html,
Richard (Hao) Zhang,Professor,"Computer Graphics, Geometric Modelling",http://www.sfu.ca/computing/people/faculty/richardzhang.html,http://www.cs.sfu.ca/~haoz/
Ryan Shea,Assistant Professor,,,
